Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-008:PCT-QL-015:PCT-002:en:247,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 400 students is divided as 40% girls, 35% boys, and 25% other students. Find the number of girls.",160 + 1,160 - 1,-160,160,D,The whole students corresponds to 100%. ? 100%?400 So the value corresponding to 1% is obtained by dividing 400 by 100. ? 1%=(400/100)=4 Now multiply the value of 1% by 40 to find the girls. ? 40%=4?40=160 Therefore the girls count is 160. ? girls=160,,
PCT-CP-009:PCT-QL-017:PCT-002:en:248,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"25% is spent on food, 20% on rent, and 20% on transport. Find the remaining percentage for remaining.",-35%,35% + 1,35% - 1,35%,D,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 25%+20%+20%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:249,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 6000, 40% are males, 35% are females, and 25% are children. Find the number of children.",1500,1500 + 1,1500 - 1,-1500,A,The whole population corresponds to 100%. ? 100%?6000 So the value corresponding to 1% is obtained by dividing 6000 by 100. ? 1%=(6000/100)=60 Now multiply the value of 1% by the percentage for children. ? 25%=60?25=1500 Therefore the value for children is 1500. ? children=1500,,
PCT-CP-001:PCT-QL-002:PCT-002:en:250,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"20% of the monthly income is kept aside as savings. If these savings are Rs. 6000, find the total monthly income.",30000 + 1,30000 - 1,30000,-30000,C,"Here, 20% of the monthly income equals Rs. 6000. ? 20%?Rs. 6000 To determine the value of 1%, divide Rs. 6000 by 20. ? 1%=(6000/20)=300 Now multiply the value of 1% by 100 to get the whole. ? 100%=300?100=30000 Therefore the total monthly income is Rs. 30000. ? Total monthly income=30000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:251,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 35% of the students equals 245, how many students correspond to 60%?",420 + 1,420 - 1,420,-420,C,"Here, 35% of the students equals 245. ? 35%?245 First find the value corresponding to 1% by dividing 245 by 35. ? 1%=(245/35)=7 Now multiply the value of 1% by 60 to get 60%. ? 60%=7?60=420 Therefore 60% of the students is 420. ? students=420",,
PCT-CP-003:PCT-QL-006:PCT-002:en:252,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 7500 as savings out of a total income of Rs. 30000. Find the percentage of savings.,25%,25% - 1,25% + 1,-25%,A,The whole income corresponds to 100%. ? 100%?Rs. 30000 So 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now compare Rs. 7500 with the value of 1% to get the required percentage. ? Required percent=(7500/300)=25% Therefore Rs. 7500 is 25% of the income. ? savings=25%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:253,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 20% of the books equals 100, what percent of the books is 100?",20%,20% + 1,20% - 1,-20%,A,"Here, 20% of the books equals 100. ? 20%?100 To determine the value of 1%, divide 100 by 20. ? 1%=(100/20)=5 Now compare 100 with the value of 1% to find the required percentage. ? Required percent=(100/5)=20% Therefore 100 is 20% of the books. ? Required percent=20%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:254,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 4:5. Express the second part as a percentage of the whole.,-55.56%,55.56% - 1,55.56%,55.56% + 1,C,First add the ratio parts to get the whole number of equal parts. ? Total parts=4+5=9 The second part accounts for 5 out of these 9 parts. ? Share fraction=(5/9) Convert that share into a percentage. ? Required percent=(5/9)?100=55.56% Therefore the second part corresponds to 55.56%. ? second part=55.56%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:255,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 15% of the income as savings. What percent of the income is spent on expenditure?,-85%,85%,85% - 1,85% + 1,B,The full quantity is always 100%. ? savings+expenditure=100% So subtract 15% from 100% to get the remaining percentage. ? expenditure=100%-15%=85% Therefore the expenditure percentage is 85%. ? expenditure=85%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:256,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,35% of the monthly budget goes to food expenses and 20% goes to transport expenses. Find the percentage difference.,-15%,15% - 1,15%,15% + 1,C,"Both parts are already given as percentages of the same whole. ? food expenses=35%, transport expenses=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:257,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 12000 is divided as 30% rent, 25% food, and 45% transport. Find the amount spent on rent.",3600 - 1,3600,-3600,3600 + 1,B,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 12000 So the value corresponding to 1% is obtained by dividing Rs. 12000 by 100. ? 1%=(12000/100)=120 Now multiply the value of 1% by 30 to find the rent. ? 30%=120?30=3600 Therefore the rent count is Rs. 3600. ? rent=3600,,
PCT-CP-009:PCT-QL-018:PCT-002:en:258,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 25% goes to marketing, 25% to salaries, and 10% to rent. Find the missing percentage for other expenses.",40% - 1,40%,-40%,40% + 1,B,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 25%+25%+10%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:259,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 24000, 35% is spent on food, 25% on rent, 10% on transport, and the remaining 30% on education. Find the amount spent on education.",-7200,7200,7200 - 1,7200 + 1,B,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 24000 So the value corresponding to 1% is obtained by dividing Rs. 24000 by 100. ? 1%=(24000/100)=240 Now multiply the value of 1% by the percentage for education. ? 30%=240?30=7200 Therefore the value for education is Rs. 7200. ? education=7200,,
PCT-CP-001:PCT-QL-001:PCT-002:en:260,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"30% of the students are girls. If the number of girls is 240, find the total number of students.",800,800 - 1,800 + 1,-800,A,"Here, 30% of the students equals 240. ? 30%?240 To determine the value of 1%, divide 240 by 30. ? 1%=(240/30)=8 Now multiply the value of 1% by 100 to get the whole. ? 100%=8?100=800 Therefore the total students is 800. ? Total students=800",,
PCT-CP-002:PCT-QL-003:PCT-002:en:261,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 25% of the income equals Rs. 12500, find 60% of the same income.",30000,30000 + 1,30000 - 1,-30000,A,"Here, 25% of the income equals Rs. 12500. ? 25%?Rs. 12500 First find the value corresponding to 1% by dividing Rs. 12500 by 25. ? 1%=(12500/25)=500 Now multiply the value of 1% by 60 to get 60%. ? 60%=500?60=30000 Therefore 60% of the income is Rs. 30000. ? expenditure=30000",,
PCT-CP-003:PCT-QL-005:PCT-002:en:262,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 240 students, 96 are girls. Find what percent of the students are girls.",40% + 1,40% - 1,40%,-40%,C,The whole students corresponds to 100%. ? 100%?240 So 1% is obtained by dividing 240 by 100. ? 1%=(240/100)=2.4 Now compare 96 with the value of 1% to get the required percentage. ? Required percent=(96/2.4)=40% Therefore 96 is 40% of the students. ? girls=40%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:263,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 50% of the salary is Rs. 2500, then Rs. 750 is what percent of the same salary?",15%,15% - 1,15% + 1,-15%,A,"Here, 50% of the salary equals Rs. 2500. ? 50%?Rs. 2500 To determine the value of 1%, divide Rs. 2500 by 50. ? 1%=(2500/50)=50 Now compare Rs. 750 with the value of 1% to find the required percentage. ? Required percent=(750/50)=15% Therefore Rs. 750 is 15% of the salary. ? Required percent=15%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:264,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 5:1. Find the percentage corresponding to the first part.,83.33%,83.33% - 1,83.33% + 1,-83.33%,A,First add the ratio parts to get the whole number of equal parts. ? Total parts=5+1=6 The first part accounts for 5 out of these 6 parts. ? Share fraction=(5/6) Convert that share into a percentage. ? Required percent=(5/6)?100=83.33% Therefore the first part corresponds to 83.33%. ? first part=83.33%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:265,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 30% of the class are girls, find the percentage of boys.",-70%,70% - 1,70%,70% + 1,C,The full quantity is always 100%. ? girls+boys=100% So subtract 30% from 100% to get the remaining percentage. ? boys=100%-30%=70% Therefore the boys percentage is 70%. ? boys=70%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:266,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,35% of the students are boys and 20% are girls. Find the difference between these percentages.,15% - 1,15%,-15%,15% + 1,B,"Both parts are already given as percentages of the same whole. ? boys=35%, girls=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:267,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 1200 students is divided as 25% girls, 30% boys, and 45% other students. Find the number of girls.",-300,300,300 - 1,300 + 1,B,The whole students corresponds to 100%. ? 100%?1200 So the value corresponding to 1% is obtained by dividing 1200 by 100. ? 1%=(1200/100)=12 Now multiply the value of 1% by 25 to find the girls. ? 25%=12?25=300 Therefore the girls count is 300. ? girls=300,,
PCT-CP-009:PCT-QL-017:PCT-002:en:268,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"30% is spent on food, 25% on rent, and 10% on transport. Find the remaining percentage for remaining.",-35%,35%,35% - 1,35% + 1,B,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 30%+25%+10%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:269,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 5000, 35% are males, 40% are females, and 25% are children. Find the number of children.",1250,-1250,1250 + 1,1250 - 1,A,The whole population corresponds to 100%. ? 100%?5000 So the value corresponding to 1% is obtained by dividing 5000 by 100. ? 1%=(5000/100)=50 Now multiply the value of 1% by the percentage for children. ? 25%=50?25=1250 Therefore the value for children is 1250. ? children=1250,,
PCT-CP-001:PCT-QL-002:PCT-002:en:270,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"10% of the monthly income is kept aside as savings. If these savings are Rs. 2000, find the total monthly income.",20000,20000 + 1,-20000,20000 - 1,A,"Here, 10% of the monthly income equals Rs. 2000. ? 10%?Rs. 2000 To determine the value of 1%, divide Rs. 2000 by 10. ? 1%=(2000/10)=200 Now multiply the value of 1% by 100 to get the whole. ? 100%=200?100=20000 Therefore the total monthly income is Rs. 20000. ? Total monthly income=20000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:271,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 20% of the students equals 80, how many students correspond to 45%?",180 + 1,-180,180,180 - 1,C,"Here, 20% of the students equals 80. ? 20%?80 First find the value corresponding to 1% by dividing 80 by 20. ? 1%=(80/20)=4 Now multiply the value of 1% by 45 to get 45%. ? 45%=4?45=180 Therefore 45% of the students is 180. ? students=180",,
PCT-CP-003:PCT-QL-006:PCT-002:en:272,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 2000 as savings out of a total income of Rs. 20000. Find the percentage of savings.,10%,10% + 1,-10%,10% - 1,A,The whole income corresponds to 100%. ? 100%?Rs. 20000 So 1% is obtained by dividing Rs. 20000 by 100. ? 1%=(20000/100)=200 Now compare Rs. 2000 with the value of 1% to get the required percentage. ? Required percent=(2000/200)=10% Therefore Rs. 2000 is 10% of the income. ? savings=10%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:273,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 30% of the books equals 120, what percent of the books is 140?",35%,-35%,35% + 1,35% - 1,A,"Here, 30% of the books equals 120. ? 30%?120 To determine the value of 1%, divide 120 by 30. ? 1%=(120/30)=4 Now compare 140 with the value of 1% to find the required percentage. ? Required percent=(140/4)=35% Therefore 140 is 35% of the books. ? Required percent=35%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:274,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 1:2. Express the second part as a percentage of the whole.,-66.67%,66.67% - 1,66.67% + 1,66.67%,D,First add the ratio parts to get the whole number of equal parts. ? Total parts=1+2=3 The second part accounts for 2 out of these 3 parts. ? Share fraction=(2/3) Convert that share into a percentage. ? Required percent=(2/3)?100=66.67% Therefore the second part corresponds to 66.67%. ? second part=66.67%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:275,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 20% of the income as savings. What percent of the income is spent on expenditure?,-80%,80% - 1,80% + 1,80%,D,The full quantity is always 100%. ? savings+expenditure=100% So subtract 20% from 100% to get the remaining percentage. ? expenditure=100%-20%=80% Therefore the expenditure percentage is 80%. ? expenditure=80%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:276,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,45% of the monthly budget goes to food expenses and 10% goes to transport expenses. Find the percentage difference.,-35%,35% - 1,35% + 1,35%,D,"Both parts are already given as percentages of the same whole. ? food expenses=45%, transport expenses=10% So subtract the smaller percentage from the larger percentage. ? Difference=45%-10%=35% Therefore the percentage difference is 35%. ? Difference=35%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:277,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 30000 is divided as 35% rent, 25% food, and 40% transport. Find the amount spent on rent.",-10500,10500 + 1,10500 - 1,10500,D,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 30000 So the value corresponding to 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now multiply the value of 1% by 35 to find the rent. ? 35%=300?35=10500 Therefore the rent count is Rs. 10500. ? rent=10500,,
PCT-CP-009:PCT-QL-018:PCT-002:en:278,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 30% goes to marketing, 15% to salaries, and 15% to rent. Find the missing percentage for other expenses.",-40%,40% + 1,40% - 1,40%,D,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 30%+15%+15%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:279,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 20000, 30% is spent on food, 20% on rent, 10% on transport, and the remaining 40% on education. Find the amount spent on education.",-8000,8000 - 1,8000 + 1,8000,D,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 20000 So the value corresponding to 1% is obtained by dividing Rs. 20000 by 100. ? 1%=(20000/100)=200 Now multiply the value of 1% by the percentage for education. ? 40%=200?40=8000 Therefore the value for education is Rs. 8000. ? education=8000,,
PCT-CP-001:PCT-QL-001:PCT-002:en:280,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"45% of the students are girls. If the number of girls is 270, find the total number of students.",600,600 + 1,-600,600 - 1,A,"Here, 45% of the students equals 270. ? 45%?270 To determine the value of 1%, divide 270 by 45. ? 1%=(270/45)=6 Now multiply the value of 1% by 100 to get the whole. ? 100%=6?100=600 Therefore the total students is 600. ? Total students=600",,
PCT-CP-002:PCT-QL-003:PCT-002:en:281,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 40% of the income equals Rs. 14400, find 65% of the same income.",23400 + 1,-23400,23400,23400 - 1,C,"Here, 40% of the income equals Rs. 14400. ? 40%?Rs. 14400 First find the value corresponding to 1% by dividing Rs. 14400 by 40. ? 1%=(14400/40)=360 Now multiply the value of 1% by 65 to get 65%. ? 65%=360?65=23400 Therefore 65% of the income is Rs. 23400. ? expenditure=23400",,
PCT-CP-003:PCT-QL-005:PCT-002:en:282,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 240 students, 60 are girls. Find what percent of the students are girls.",25%,-25%,25% + 1,25% - 1,A,The whole students corresponds to 100%. ? 100%?240 So 1% is obtained by dividing 240 by 100. ? 1%=(240/100)=2.4 Now compare 60 with the value of 1% to get the required percentage. ? Required percent=(60/2.4)=25% Therefore 60 is 25% of the students. ? girls=25%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:283,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 40% of the salary is Rs. 1600, then Rs. 800 is what percent of the same salary?",20%,20% + 1,-20%,20% - 1,A,"Here, 40% of the salary equals Rs. 1600. ? 40%?Rs. 1600 To determine the value of 1%, divide Rs. 1600 by 40. ? 1%=(1600/40)=40 Now compare Rs. 800 with the value of 1% to find the required percentage. ? Required percent=(800/40)=20% Therefore Rs. 800 is 20% of the salary. ? Required percent=20%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:284,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 2:3. Find the percentage corresponding to the first part.,40% + 1,-40%,40%,40% - 1,C,First add the ratio parts to get the whole number of equal parts. ? Total parts=2+3=5 The first part accounts for 2 out of these 5 parts. ? Share fraction=(2/5) Convert that share into a percentage. ? Required percent=(2/5)?100=40% Therefore the first part corresponds to 40%. ? first part=40%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:285,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 45% of the class are girls, find the percentage of boys.",-55%,55% + 1,55% - 1,55%,D,The full quantity is always 100%. ? girls+boys=100% So subtract 45% from 100% to get the remaining percentage. ? boys=100%-45%=55% Therefore the boys percentage is 55%. ? boys=55%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:286,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,45% of the students are boys and 30% are girls. Find the difference between these percentages.,-15%,15% - 1,15% + 1,15%,D,"Both parts are already given as percentages of the same whole. ? boys=45%, girls=30% So subtract the smaller percentage from the larger percentage. ? Difference=45%-30%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:287,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 1000 students is divided as 35% girls, 30% boys, and 35% other students. Find the number of girls.",-350,350 + 1,350 - 1,350,D,The whole students corresponds to 100%. ? 100%?1000 So the value corresponding to 1% is obtained by dividing 1000 by 100. ? 1%=(1000/100)=10 Now multiply the value of 1% by 35 to find the girls. ? 35%=10?35=350 Therefore the girls count is 350. ? girls=350,,
PCT-CP-009:PCT-QL-017:PCT-002:en:288,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"35% is spent on food, 15% on rent, and 15% on transport. Find the remaining percentage for remaining.",-35%,35% + 1,35% - 1,35%,D,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 35%+15%+15%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:289,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 4000, 45% are males, 30% are females, and 25% are children. Find the number of children.",1000 + 1,1000 - 1,1000,-1000,C,The whole population corresponds to 100%. ? 100%?4000 So the value corresponding to 1% is obtained by dividing 4000 by 100. ? 1%=(4000/100)=40 Now multiply the value of 1% by the percentage for children. ? 25%=40?25=1000 Therefore the value for children is 1000. ? children=1000,,
PCT-CP-001:PCT-QL-002:PCT-002:en:290,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"20% of the monthly income is kept aside as savings. If these savings are Rs. 6000, find the total monthly income.",30000,30000 + 1,30000 - 1,-30000,A,"Here, 20% of the monthly income equals Rs. 6000. ? 20%?Rs. 6000 To determine the value of 1%, divide Rs. 6000 by 20. ? 1%=(6000/20)=300 Now multiply the value of 1% by 100 to get the whole. ? 100%=300?100=30000 Therefore the total monthly income is Rs. 30000. ? Total monthly income=30000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:291,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 35% of the students equals 98, how many students correspond to 60%?",168,168 - 1,168 + 1,-168,A,"Here, 35% of the students equals 98. ? 35%?98 First find the value corresponding to 1% by dividing 98 by 35. ? 1%=(98/35)=2.8 Now multiply the value of 1% by 60 to get 60%. ? 60%=2.8?60=168 Therefore 60% of the students is 168. ? students=168",,
PCT-CP-003:PCT-QL-006:PCT-002:en:292,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 7200 as savings out of a total income of Rs. 48000. Find the percentage of savings.,15%,15% - 1,15% + 1,-15%,A,The whole income corresponds to 100%. ? 100%?Rs. 48000 So 1% is obtained by dividing Rs. 48000 by 100. ? 1%=(48000/100)=480 Now compare Rs. 7200 with the value of 1% to get the required percentage. ? Required percent=(7200/480)=15% Therefore Rs. 7200 is 15% of the income. ? savings=15%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:293,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 20% of the books equals 60, what percent of the books is 150?",50%,50% - 1,50% + 1,-50%,A,"Here, 20% of the books equals 60. ? 20%?60 To determine the value of 1%, divide 60 by 20. ? 1%=(60/20)=3 Now compare 150 with the value of 1% to find the required percentage. ? Required percent=(150/3)=50% Therefore 150 is 50% of the books. ? Required percent=50%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:294,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 3:4. Express the second part as a percentage of the whole.,57.14% - 1,57.14%,-57.14%,57.14% + 1,B,First add the ratio parts to get the whole number of equal parts. ? Total parts=3+4=7 The second part accounts for 4 out of these 7 parts. ? Share fraction=(4/7) Convert that share into a percentage. ? Required percent=(4/7)?100=57.14% Therefore the second part corresponds to 57.14%. ? second part=57.14%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:295,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 25% of the income as savings. What percent of the income is spent on expenditure?,-75%,75% - 1,75%,75% + 1,C,The full quantity is always 100%. ? savings+expenditure=100% So subtract 25% from 100% to get the remaining percentage. ? expenditure=100%-25%=75% Therefore the expenditure percentage is 75%. ? expenditure=75%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:296,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,35% of the monthly budget goes to food expenses and 20% goes to transport expenses. Find the percentage difference.,-15%,15%,15% - 1,15% + 1,B,"Both parts are already given as percentages of the same whole. ? food expenses=35%, transport expenses=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:297,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 24000 is divided as 25% rent, 25% food, and 50% transport. Find the amount spent on rent.",-6000,6000,6000 - 1,6000 + 1,B,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 24000 So the value corresponding to 1% is obtained by dividing Rs. 24000 by 100. ? 1%=(24000/100)=240 Now multiply the value of 1% by 25 to find the rent. ? 25%=240?25=6000 Therefore the rent count is Rs. 6000. ? rent=6000,,
PCT-CP-009:PCT-QL-018:PCT-002:en:298,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 20% goes to marketing, 20% to salaries, and 20% to rent. Find the missing percentage for other expenses.",40% - 1,40%,-40%,40% + 1,B,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 20%+20%+20%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:299,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 20000, 35% is spent on food, 25% on rent, 20% on transport, and the remaining 20% on education. Find the amount spent on education.",4000 - 1,4000,-4000,4000 + 1,B,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 20000 So the value corresponding to 1% is obtained by dividing Rs. 20000 by 100. ? 1%=(20000/100)=200 Now multiply the value of 1% by the percentage for education. ? 20%=200?20=4000 Therefore the value for education is Rs. 4000. ? education=4000,,
PCT-CP-001:PCT-QL-001:PCT-002:en:300,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"30% of the students are girls. If the number of girls is 120, find the total number of students.",-400,400,400 - 1,400 + 1,B,"Here, 30% of the students equals 120. ? 30%?120 To determine the value of 1%, divide 120 by 30. ? 1%=(120/30)=4 Now multiply the value of 1% by 100 to get the whole. ? 100%=4?100=400 Therefore the total students is 400. ? Total students=400",,
PCT-CP-002:PCT-QL-003:PCT-002:en:301,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 20% of the income equals Rs. 8000, find 70% of the same income.",-28000,28000,28000 - 1,28000 + 1,B,"Here, 20% of the income equals Rs. 8000. ? 20%?Rs. 8000 First find the value corresponding to 1% by dividing Rs. 8000 by 20. ? 1%=(8000/20)=400 Now multiply the value of 1% by 70 to get 70%. ? 70%=400?70=28000 Therefore 70% of the income is Rs. 28000. ? expenditure=28000",,
PCT-CP-003:PCT-QL-005:PCT-002:en:302,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 240 students, 96 are girls. Find what percent of the students are girls.",40% - 1,40%,-40%,40% + 1,B,The whole students corresponds to 100%. ? 100%?240 So 1% is obtained by dividing 240 by 100. ? 1%=(240/100)=2.4 Now compare 96 with the value of 1% to get the required percentage. ? Required percent=(96/2.4)=40% Therefore 96 is 40% of the students. ? girls=40%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:303,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 45% of the salary is Rs. 2250, then Rs. 1250 is what percent of the same salary?",25% - 1,25%,-25%,25% + 1,B,"Here, 45% of the salary equals Rs. 2250. ? 45%?Rs. 2250 To determine the value of 1%, divide Rs. 2250 by 45. ? 1%=(2250/45)=50 Now compare Rs. 1250 with the value of 1% to find the required percentage. ? Required percent=(1250/50)=25% Therefore Rs. 1250 is 25% of the salary. ? Required percent=25%",,
