Question ID,CP,Number,Selected Prime,Difficulty Band,Question Language ID,Explanation Style ID,Question,Answer,Factorization Text,Factorization Latex,Explanation
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:140,CP-004,1271,,Medium,QL-010,ES-004,Find the largest prime factor of 1271.,41,1271 = 31 x 41,1271 = 31 \times 41,"Write the prime factorization of 1271.

1271 = 31 x 41

The largest prime factor is 41.

Answer: 41"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:141,CP-004,1269,,Medium,QL-011,ES-004,Determine the greatest prime factor of 1269.,47,1269 = 3^3 x 47,1269 = 3^{3} \times 47,"Write the prime factorization of 1269.

1269 = 3^3 x 47

The largest prime factor is 47.

Answer: 47"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:142,CP-004,2214,,Medium,QL-010,ES-004,Find the largest prime factor of 2214.,41,2214 = 2 x 3^3 x 41,2214 = 2 \times 3^{3} \times 41,"Write the prime factorization of 2214.

2214 = 2 x 3^3 x 41

The largest prime factor is 41.

Answer: 41"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:143,CP-004,1504,,Medium,QL-011,ES-004,Determine the greatest prime factor of 1504.,47,1504 = 2^5 x 47,1504 = 2^{5} \times 47,"Write the prime factorization of 1504.

1504 = 2^5 x 47

The largest prime factor is 47.

Answer: 47"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:144,CP-004,2547,,Medium,QL-010,ES-004,Find the largest prime factor of 2547.,283,2547 = 3^2 x 283,2547 = 3^{2} \times 283,"Write the prime factorization of 2547.

2547 = 3^2 x 283

The largest prime factor is 283.

Answer: 283"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:145,CP-004,35406,,Hard,QL-011,ES-004,Determine the greatest prime factor of 35406.,281,35406 = 2 x 3^2 x 7 x 281,35406 = 2 \times 3^{2} \times 7 \times 281,"Write the prime factorization of 35406.

35406 = 2 x 3^2 x 7 x 281

The largest prime factor is 281.

Answer: 281"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:146,CP-004,100,,Easy,QL-010,ES-004,Find the largest prime factor of 100.,5,100 = 2^2 x 5^2,100 = 2^{2} \times 5^{2},"Write the prime factorization of 100.

100 = 2^2 x 5^2

The largest prime factor is 5.

Answer: 5"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:147,CP-004,23135,,Hard,QL-011,ES-004,Determine the greatest prime factor of 23135.,661,23135 = 5 x 7 x 661,23135 = 5 \times 7 \times 661,"Write the prime factorization of 23135.

23135 = 5 x 7 x 661

The largest prime factor is 661.

Answer: 661"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:148,CP-004,6,,Easy,QL-010,ES-004,Find the largest prime factor of 6.,3,6 = 2 x 3,6 = 2 \times 3,"Write the prime factorization of 6.

6 = 2 x 3

The largest prime factor is 3.

Answer: 3"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:149,CP-004,3417,,Medium,QL-011,ES-004,Determine the greatest prime factor of 3417.,67,3417 = 3 x 17 x 67,3417 = 3 \times 17 \times 67,"Write the prime factorization of 3417.

3417 = 3 x 17 x 67

The largest prime factor is 67.

Answer: 67"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:150,CP-004,87,,Easy,QL-011,ES-004,Determine the greatest prime factor of 87.,29,87 = 3 x 29,87 = 3 \times 29,"Write the prime factorization of 87.

87 = 3 x 29

The largest prime factor is 29.

Answer: 29"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:151,CP-004,8,,Easy,QL-010,ES-004,Find the largest prime factor of 8.,2,8 = 2^3,8 = 2^{3},"Write the prime factorization of 8.

8 = 2^3

The largest prime factor is 2.

Answer: 2"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:152,CP-004,176,,Easy,QL-011,ES-004,Determine the greatest prime factor of 176.,11,176 = 2^4 x 11,176 = 2^{4} \times 11,"Write the prime factorization of 176.

176 = 2^4 x 11

The largest prime factor is 11.

Answer: 11"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:153,CP-004,4478,,Medium,QL-010,ES-004,Find the largest prime factor of 4478.,2239,4478 = 2 x 2239,4478 = 2 \times 2239,"Write the prime factorization of 4478.

4478 = 2 x 2239

The largest prime factor is 2239.

Answer: 2239"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:154,CP-004,324,,Medium,QL-011,ES-004,Determine the greatest prime factor of 324.,3,324 = 2^2 x 3^4,324 = 2^{2} \times 3^{4},"Write the prime factorization of 324.

324 = 2^2 x 3^4

The largest prime factor is 3.

Answer: 3"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:155,CP-004,11,,Easy,QL-010,ES-004,Find the largest prime factor of 11.,11,11 = 11,11 = 11,"Write the prime factorization of 11.

11 = 11

The largest prime factor is 11.

Answer: 11"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:156,CP-004,53791,,Hard,QL-011,ES-004,Determine the greatest prime factor of 53791.,53791,53791 = 53791,53791 = 53791,"Write the prime factorization of 53791.

53791 = 53791

The largest prime factor is 53791.

Answer: 53791"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:157,CP-004,846,,Medium,QL-010,ES-004,Find the largest prime factor of 846.,47,846 = 2 x 3^2 x 47,846 = 2 \times 3^{2} \times 47,"Write the prime factorization of 846.

846 = 2 x 3^2 x 47

The largest prime factor is 47.

Answer: 47"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:158,CP-004,172,,Easy,QL-011,ES-004,Determine the greatest prime factor of 172.,43,172 = 2^2 x 43,172 = 2^{2} \times 43,"Write the prime factorization of 172.

172 = 2^2 x 43

The largest prime factor is 43.

Answer: 43"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:159,CP-004,15321,,Hard,QL-010,ES-004,Find the largest prime factor of 15321.,5107,15321 = 3 x 5107,15321 = 3 \times 5107,"Write the prime factorization of 15321.

15321 = 3 x 5107

The largest prime factor is 5107.

Answer: 5107"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:160,CP-004,3297,,Medium,QL-010,ES-004,Find the largest prime factor of 3297.,157,3297 = 3 x 7 x 157,3297 = 3 \times 7 \times 157,"Write the prime factorization of 3297.

3297 = 3 x 7 x 157

The largest prime factor is 157.

Answer: 157"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:161,CP-004,1764,,Medium,QL-011,ES-004,Determine the greatest prime factor of 1764.,7,1764 = 2^2 x 3^2 x 7^2,1764 = 2^{2} \times 3^{2} \times 7^{2},"Write the prime factorization of 1764.

1764 = 2^2 x 3^2 x 7^2

The largest prime factor is 7.

Answer: 7"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:162,CP-004,129,,Easy,QL-010,ES-004,Find the largest prime factor of 129.,43,129 = 3 x 43,129 = 3 \times 43,"Write the prime factorization of 129.

129 = 3 x 43

The largest prime factor is 43.

Answer: 43"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:163,CP-004,90,,Easy,QL-011,ES-004,Determine the greatest prime factor of 90.,5,90 = 2 x 3^2 x 5,90 = 2 \times 3^{2} \times 5,"Write the prime factorization of 90.

90 = 2 x 3^2 x 5

The largest prime factor is 5.

Answer: 5"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:164,CP-004,20,,Easy,QL-010,ES-004,Find the largest prime factor of 20.,5,20 = 2^2 x 5,20 = 2^{2} \times 5,"Write the prime factorization of 20.

20 = 2^2 x 5

The largest prime factor is 5.

Answer: 5"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:165,CP-004,1312,,Medium,QL-011,ES-004,Determine the greatest prime factor of 1312.,41,1312 = 2^5 x 41,1312 = 2^{5} \times 41,"Write the prime factorization of 1312.

1312 = 2^5 x 41

The largest prime factor is 41.

Answer: 41"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:166,CP-004,59266,,Hard,QL-010,ES-004,Find the largest prime factor of 59266.,29633,59266 = 2 x 29633,59266 = 2 \times 29633,"Write the prime factorization of 59266.

59266 = 2 x 29633

The largest prime factor is 29633.

Answer: 29633"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:167,CP-004,70324,,Hard,QL-011,ES-004,Determine the greatest prime factor of 70324.,17581,70324 = 2^2 x 17581,70324 = 2^{2} \times 17581,"Write the prime factorization of 70324.

70324 = 2^2 x 17581

The largest prime factor is 17581.

Answer: 17581"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:168,CP-004,33,,Easy,QL-010,ES-004,Find the largest prime factor of 33.,11,33 = 3 x 11,33 = 3 \times 11,"Write the prime factorization of 33.

33 = 3 x 11

The largest prime factor is 11.

Answer: 11"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:169,CP-004,2295,,Medium,QL-011,ES-004,Determine the greatest prime factor of 2295.,17,2295 = 3^3 x 5 x 17,2295 = 3^{3} \times 5 \times 17,"Write the prime factorization of 2295.

2295 = 3^3 x 5 x 17

The largest prime factor is 17.

Answer: 17"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:170,CP-004,13,,Easy,QL-011,ES-004,Determine the greatest prime factor of 13.,13,13 = 13,13 = 13,"Write the prime factorization of 13.

13 = 13

The largest prime factor is 13.

Answer: 13"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:171,CP-004,168,,Easy,QL-010,ES-004,Find the largest prime factor of 168.,7,168 = 2^3 x 3 x 7,168 = 2^{3} \times 3 \times 7,"Write the prime factorization of 168.

168 = 2^3 x 3 x 7

The largest prime factor is 7.

Answer: 7"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:172,CP-004,4557,,Medium,QL-011,ES-004,Determine the greatest prime factor of 4557.,31,4557 = 3 x 7^2 x 31,4557 = 3 \times 7^{2} \times 31,"Write the prime factorization of 4557.

4557 = 3 x 7^2 x 31

The largest prime factor is 31.

Answer: 31"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:173,CP-004,85390,,Hard,QL-010,ES-004,Find the largest prime factor of 85390.,8539,85390 = 2 x 5 x 8539,85390 = 2 \times 5 \times 8539,"Write the prime factorization of 85390.

85390 = 2 x 5 x 8539

The largest prime factor is 8539.

Answer: 8539"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:174,CP-004,35,,Easy,QL-011,ES-004,Determine the greatest prime factor of 35.,7,35 = 5 x 7,35 = 5 \times 7,"Write the prime factorization of 35.

35 = 5 x 7

The largest prime factor is 7.

Answer: 7"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:175,CP-004,137,,Easy,QL-010,ES-004,Find the largest prime factor of 137.,137,137 = 137,137 = 137,"Write the prime factorization of 137.

137 = 137

The largest prime factor is 137.

Answer: 137"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:176,CP-004,934,,Medium,QL-011,ES-004,Determine the greatest prime factor of 934.,467,934 = 2 x 467,934 = 2 \times 467,"Write the prime factorization of 934.

934 = 2 x 467

The largest prime factor is 467.

Answer: 467"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:177,CP-004,47,,Easy,QL-010,ES-004,Find the largest prime factor of 47.,47,47 = 47,47 = 47,"Write the prime factorization of 47.

47 = 47

The largest prime factor is 47.

Answer: 47"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:178,CP-004,4142,,Medium,QL-011,ES-004,Determine the greatest prime factor of 4142.,109,4142 = 2 x 19 x 109,4142 = 2 \times 19 \times 109,"Write the prime factorization of 4142.

4142 = 2 x 19 x 109

The largest prime factor is 109.

Answer: 109"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:179,CP-004,1601,,Medium,QL-010,ES-004,Find the largest prime factor of 1601.,1601,1601 = 1601,1601 = 1601,"Write the prime factorization of 1601.

1601 = 1601

The largest prime factor is 1601.

Answer: 1601"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:180,CP-004,3525,,Medium,QL-010,ES-004,Find the largest prime factor of 3525.,47,3525 = 3 x 5^2 x 47,3525 = 3 \times 5^{2} \times 47,"Write the prime factorization of 3525.

3525 = 3 x 5^2 x 47

The largest prime factor is 47.

Answer: 47"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:181,CP-004,52,,Easy,QL-011,ES-004,Determine the greatest prime factor of 52.,13,52 = 2^2 x 13,52 = 2^{2} \times 13,"Write the prime factorization of 52.

52 = 2^2 x 13

The largest prime factor is 13.

Answer: 13"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:182,CP-004,4006,,Medium,QL-010,ES-004,Find the largest prime factor of 4006.,2003,4006 = 2 x 2003,4006 = 2 \times 2003,"Write the prime factorization of 4006.

4006 = 2 x 2003

The largest prime factor is 2003.

Answer: 2003"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:183,CP-004,1626,,Medium,QL-011,ES-004,Determine the greatest prime factor of 1626.,271,1626 = 2 x 3 x 271,1626 = 2 \times 3 \times 271,"Write the prime factorization of 1626.

1626 = 2 x 3 x 271

The largest prime factor is 271.

Answer: 271"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:184,CP-004,95,,Easy,QL-010,ES-004,Find the largest prime factor of 95.,19,95 = 5 x 19,95 = 5 \times 19,"Write the prime factorization of 95.

95 = 5 x 19

The largest prime factor is 19.

Answer: 19"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:185,CP-004,4042,,Medium,QL-011,ES-004,Determine the greatest prime factor of 4042.,47,4042 = 2 x 43 x 47,4042 = 2 \times 43 \times 47,"Write the prime factorization of 4042.

4042 = 2 x 43 x 47

The largest prime factor is 47.

Answer: 47"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:186,CP-004,30,,Easy,QL-010,ES-004,Find the largest prime factor of 30.,5,30 = 2 x 3 x 5,30 = 2 \times 3 \times 5,"Write the prime factorization of 30.

30 = 2 x 3 x 5

The largest prime factor is 5.

Answer: 5"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:187,CP-004,81820,,Hard,QL-011,ES-004,Determine the greatest prime factor of 81820.,4091,81820 = 2^2 x 5 x 4091,81820 = 2^{2} \times 5 \times 4091,"Write the prime factorization of 81820.

81820 = 2^2 x 5 x 4091

The largest prime factor is 4091.

Answer: 4091"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:188,CP-004,109,,Easy,QL-010,ES-004,Find the largest prime factor of 109.,109,109 = 109,109 = 109,"Write the prime factorization of 109.

109 = 109

The largest prime factor is 109.

Answer: 109"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:189,CP-004,196,,Easy,QL-011,ES-004,Determine the greatest prime factor of 196.,7,196 = 2^2 x 7^2,196 = 2^{2} \times 7^{2},"Write the prime factorization of 196.

196 = 2^2 x 7^2

The largest prime factor is 7.

Answer: 7"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:190,CP-004,3635,,Medium,QL-011,ES-004,Determine the greatest prime factor of 3635.,727,3635 = 5 x 727,3635 = 5 \times 727,"Write the prime factorization of 3635.

3635 = 5 x 727

The largest prime factor is 727.

Answer: 727"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:191,CP-004,2,,Easy,QL-010,ES-004,Find the largest prime factor of 2.,2,2 = 2,2 = 2,"Write the prime factorization of 2.

2 = 2

The largest prime factor is 2.

Answer: 2"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:192,CP-004,80947,,Hard,QL-011,ES-004,Determine the greatest prime factor of 80947.,1327,80947 = 61 x 1327,80947 = 61 \times 1327,"Write the prime factorization of 80947.

80947 = 61 x 1327

The largest prime factor is 1327.

Answer: 1327"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:193,CP-004,96928,,Hard,QL-010,ES-004,Find the largest prime factor of 96928.,233,96928 = 2^5 x 13 x 233,96928 = 2^{5} \times 13 \times 233,"Write the prime factorization of 96928.

96928 = 2^5 x 13 x 233

The largest prime factor is 233.

Answer: 233"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:194,CP-004,22137,,Hard,QL-011,ES-004,Determine the greatest prime factor of 22137.,157,22137 = 3 x 47 x 157,22137 = 3 \times 47 \times 157,"Write the prime factorization of 22137.

22137 = 3 x 47 x 157

The largest prime factor is 157.

Answer: 157"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:195,CP-004,2200,,Medium,QL-010,ES-004,Find the largest prime factor of 2200.,11,2200 = 2^3 x 5^2 x 11,2200 = 2^{3} \times 5^{2} \times 11,"Write the prime factorization of 2200.

2200 = 2^3 x 5^2 x 11

The largest prime factor is 11.

Answer: 11"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:196,CP-004,3438,,Medium,QL-011,ES-004,Determine the greatest prime factor of 3438.,191,3438 = 2 x 3^2 x 191,3438 = 2 \times 3^{2} \times 191,"Write the prime factorization of 3438.

3438 = 2 x 3^2 x 191

The largest prime factor is 191.

Answer: 191"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:197,CP-004,180,,Easy,QL-010,ES-004,Find the largest prime factor of 180.,5,180 = 2^2 x 3^2 x 5,180 = 2^{2} \times 3^{2} \times 5,"Write the prime factorization of 180.

180 = 2^2 x 3^2 x 5

The largest prime factor is 5.

Answer: 5"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:198,CP-004,15586,,Hard,QL-011,ES-004,Determine the greatest prime factor of 15586.,7793,15586 = 2 x 7793,15586 = 2 \times 7793,"Write the prime factorization of 15586.

15586 = 2 x 7793

The largest prime factor is 7793.

Answer: 7793"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:199,CP-004,90003,,Hard,QL-010,ES-004,Find the largest prime factor of 90003.,1579,90003 = 3 x 19 x 1579,90003 = 3 \times 19 \times 1579,"Write the prime factorization of 90003.

90003 = 3 x 19 x 1579

The largest prime factor is 1579.

Answer: 1579"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:200,CP-004,3428,,Medium,QL-011,ES-004,Determine the greatest prime factor of 3428.,857,3428 = 2^2 x 857,3428 = 2^{2} \times 857,"Write the prime factorization of 3428.

3428 = 2^2 x 857

The largest prime factor is 857.

Answer: 857"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:201,CP-004,116,,Easy,QL-010,ES-004,Find the largest prime factor of 116.,29,116 = 2^2 x 29,116 = 2^{2} \times 29,"Write the prime factorization of 116.

116 = 2^2 x 29

The largest prime factor is 29.

Answer: 29"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:202,CP-004,52156,,Hard,QL-011,ES-004,Determine the greatest prime factor of 52156.,59,52156 = 2^2 x 13 x 17 x 59,52156 = 2^{2} \times 13 \times 17 \times 59,"Write the prime factorization of 52156.

52156 = 2^2 x 13 x 17 x 59

The largest prime factor is 59.

Answer: 59"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:203,CP-004,148,,Easy,QL-010,ES-004,Find the largest prime factor of 148.,37,148 = 2^2 x 37,148 = 2^{2} \times 37,"Write the prime factorization of 148.

148 = 2^2 x 37

The largest prime factor is 37.

Answer: 37"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:204,CP-004,530,,Medium,QL-011,ES-004,Determine the greatest prime factor of 530.,53,530 = 2 x 5 x 53,530 = 2 \times 5 \times 53,"Write the prime factorization of 530.

530 = 2 x 5 x 53

The largest prime factor is 53.

Answer: 53"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:205,CP-004,164,,Easy,QL-010,ES-004,Find the largest prime factor of 164.,41,164 = 2^2 x 41,164 = 2^{2} \times 41,"Write the prime factorization of 164.

164 = 2^2 x 41

The largest prime factor is 41.

Answer: 41"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:206,CP-004,1381,,Medium,QL-011,ES-004,Determine the greatest prime factor of 1381.,1381,1381 = 1381,1381 = 1381,"Write the prime factorization of 1381.

1381 = 1381

The largest prime factor is 1381.

Answer: 1381"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:207,CP-004,47,,Easy,QL-010,ES-004,Find the largest prime factor of 47.,47,47 = 47,47 = 47,"Write the prime factorization of 47.

47 = 47

The largest prime factor is 47.

Answer: 47"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:208,CP-004,480,,Medium,QL-011,ES-004,Determine the greatest prime factor of 480.,5,480 = 2^5 x 3 x 5,480 = 2^{5} \times 3 \times 5,"Write the prime factorization of 480.

480 = 2^5 x 3 x 5

The largest prime factor is 5.

Answer: 5"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:209,CP-004,78,,Easy,QL-010,ES-004,Find the largest prime factor of 78.,13,78 = 2 x 3 x 13,78 = 2 \times 3 \times 13,"Write the prime factorization of 78.

78 = 2 x 3 x 13

The largest prime factor is 13.

Answer: 13"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:210,CP-004,46997,,Hard,QL-010,ES-004,Find the largest prime factor of 46997.,46997,46997 = 46997,46997 = 46997,"Write the prime factorization of 46997.

46997 = 46997

The largest prime factor is 46997.

Answer: 46997"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:211,CP-004,80,,Easy,QL-011,ES-004,Determine the greatest prime factor of 80.,5,80 = 2^4 x 5,80 = 2^{4} \times 5,"Write the prime factorization of 80.

80 = 2^4 x 5

The largest prime factor is 5.

Answer: 5"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:212,CP-004,87520,,Hard,QL-010,ES-004,Find the largest prime factor of 87520.,547,87520 = 2^5 x 5 x 547,87520 = 2^{5} \times 5 \times 547,"Write the prime factorization of 87520.

87520 = 2^5 x 5 x 547

The largest prime factor is 547.

Answer: 547"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:213,CP-004,1760,,Medium,QL-011,ES-004,Determine the greatest prime factor of 1760.,11,1760 = 2^5 x 5 x 11,1760 = 2^{5} \times 5 \times 11,"Write the prime factorization of 1760.

1760 = 2^5 x 5 x 11

The largest prime factor is 11.

Answer: 11"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:214,CP-004,63,,Easy,QL-010,ES-004,Find the largest prime factor of 63.,7,63 = 3^2 x 7,63 = 3^{2} \times 7,"Write the prime factorization of 63.

63 = 3^2 x 7

The largest prime factor is 7.

Answer: 7"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:215,CP-004,2325,,Medium,QL-011,ES-004,Determine the greatest prime factor of 2325.,31,2325 = 3 x 5^2 x 31,2325 = 3 \times 5^{2} \times 31,"Write the prime factorization of 2325.

2325 = 3 x 5^2 x 31

The largest prime factor is 31.

Answer: 31"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:216,CP-004,2728,,Medium,QL-010,ES-004,Find the largest prime factor of 2728.,31,2728 = 2^3 x 11 x 31,2728 = 2^{3} \times 11 \times 31,"Write the prime factorization of 2728.

2728 = 2^3 x 11 x 31

The largest prime factor is 31.

Answer: 31"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:217,CP-004,13,,Easy,QL-011,ES-004,Determine the greatest prime factor of 13.,13,13 = 13,13 = 13,"Write the prime factorization of 13.

13 = 13

The largest prime factor is 13.

Answer: 13"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:218,CP-004,63,,Easy,QL-010,ES-004,Find the largest prime factor of 63.,7,63 = 3^2 x 7,63 = 3^{2} \times 7,"Write the prime factorization of 63.

63 = 3^2 x 7

The largest prime factor is 7.

Answer: 7"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:219,CP-004,4,,Easy,QL-011,ES-004,Determine the greatest prime factor of 4.,2,4 = 2^2,4 = 2^{2},"Write the prime factorization of 4.

4 = 2^2

The largest prime factor is 2.

Answer: 2"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:220,CP-004,194,,Easy,QL-011,ES-004,Determine the greatest prime factor of 194.,97,194 = 2 x 97,194 = 2 \times 97,"Write the prime factorization of 194.

194 = 2 x 97

The largest prime factor is 97.

Answer: 97"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:221,CP-004,184,,Easy,QL-010,ES-004,Find the largest prime factor of 184.,23,184 = 2^3 x 23,184 = 2^{3} \times 23,"Write the prime factorization of 184.

184 = 2^3 x 23

The largest prime factor is 23.

Answer: 23"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:222,CP-004,786,,Medium,QL-011,ES-004,Determine the greatest prime factor of 786.,131,786 = 2 x 3 x 131,786 = 2 \times 3 \times 131,"Write the prime factorization of 786.

786 = 2 x 3 x 131

The largest prime factor is 131.

Answer: 131"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:223,CP-004,31320,,Hard,QL-010,ES-004,Find the largest prime factor of 31320.,29,31320 = 2^3 x 3^3 x 5 x 29,31320 = 2^{3} \times 3^{3} \times 5 \times 29,"Write the prime factorization of 31320.

31320 = 2^3 x 3^3 x 5 x 29

The largest prime factor is 29.

Answer: 29"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:224,CP-004,161,,Easy,QL-011,ES-004,Determine the greatest prime factor of 161.,23,161 = 7 x 23,161 = 7 \times 23,"Write the prime factorization of 161.

161 = 7 x 23

The largest prime factor is 23.

Answer: 23"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:225,CP-004,25,,Easy,QL-010,ES-004,Find the largest prime factor of 25.,5,25 = 5^2,25 = 5^{2},"Write the prime factorization of 25.

25 = 5^2

The largest prime factor is 5.

Answer: 5"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:226,CP-004,89,,Easy,QL-011,ES-004,Determine the greatest prime factor of 89.,89,89 = 89,89 = 89,"Write the prime factorization of 89.

89 = 89

The largest prime factor is 89.

Answer: 89"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:227,CP-004,20,,Easy,QL-010,ES-004,Find the largest prime factor of 20.,5,20 = 2^2 x 5,20 = 2^{2} \times 5,"Write the prime factorization of 20.

20 = 2^2 x 5

The largest prime factor is 5.

Answer: 5"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:228,CP-004,89516,,Hard,QL-011,ES-004,Determine the greatest prime factor of 89516.,139,89516 = 2^2 x 7 x 23 x 139,89516 = 2^{2} \times 7 \times 23 \times 139,"Write the prime factorization of 89516.

89516 = 2^2 x 7 x 23 x 139

The largest prime factor is 139.

Answer: 139"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:229,CP-004,3581,,Medium,QL-010,ES-004,Find the largest prime factor of 3581.,3581,3581 = 3581,3581 = 3581,"Write the prime factorization of 3581.

3581 = 3581

The largest prime factor is 3581.

Answer: 3581"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:230,CP-004,54964,,Hard,QL-010,ES-004,Find the largest prime factor of 54964.,151,54964 = 2^2 x 7 x 13 x 151,54964 = 2^{2} \times 7 \times 13 \times 151,"Write the prime factorization of 54964.

54964 = 2^2 x 7 x 13 x 151

The largest prime factor is 151.

Answer: 151"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:231,CP-004,46,,Easy,QL-011,ES-004,Determine the greatest prime factor of 46.,23,46 = 2 x 23,46 = 2 \times 23,"Write the prime factorization of 46.

46 = 2 x 23

The largest prime factor is 23.

Answer: 23"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:232,CP-004,4817,,Medium,QL-010,ES-004,Find the largest prime factor of 4817.,4817,4817 = 4817,4817 = 4817,"Write the prime factorization of 4817.

4817 = 4817

The largest prime factor is 4817.

Answer: 4817"
NS-PF-001:CP-004:ns-pf-001-human-review:CP-004:233,CP-004,653,,Medium,QL-011,ES-004,Determine the greatest prime factor of 653.,653,653 = 653,653 = 653,"Write the prime factorization of 653.

653 = 653

The largest prime factor is 653.

Answer: 653"
